id_venda,produto,categoria,regiao,forma_pagamento,quantidade,preco_unitario,avaliacao_cliente,data_venda
104,Headset Bluetooth,Periféricos,Centro-Oeste,Boleto,2.0,159.9,,2026-02-16
177,Cadeira Ergonômica,Redes,Centro-Oeste,Boleto,1.0,129.9,4.0,2026-06-06
90,Mouse Óptico,Móveis,Sudeste,Cartão de Débito,,159.9,3.0,2026-05-15
164,SSD 480GB,Redes,Sudeste,Cartão de Crédito,1.0,129.9,5.0,2026-05-22
88,Teclado Mecânico,Móveis,sudeste,Boleto,2.0,599.0,4.0,2026-07-05
220,Mouse Óptico,Periféricos,Centro-Oeste,Cartão de Débito,1.0,159.9,5.0,2026-08-04
24,Roteador Wi-Fi,Informática,Nordeste,Cartão de Crédito,1.0,129.9,,2026-03-26
200,Cadeira Ergonômica,Armazenamento,Nordeste,Cartão de Débito,2.0,899.0,5.0,2026-05-01
154,"Monitor 24""",Redes,Sudeste,Boleto,,199.9,4.0,2026-03-16
193,SSD 480GB,Impressão,Norte,Cartão de Crédito,1.0,199.9,3.0,2026-08-05
70,"Monitor 24""",Móveis,Nordeste,Cartão de Débito,1.0,329.9,5.0,2026-05-05
107,SSD 480GB,Impressão,Sudeste,Cartão de Crédito,1.0,159.9,,2026-06-16
89,Cadeira Ergonômica,Informática,sudeste,Boleto,1.0,199.9,3.0,2026-06-05
31,Webcam HD,Periféricos,Norte,Pix,1.0,199.9,,2026-05-14
207,Notebook Gamer,Impressão,Sul,Cartão de Crédito,,899.0,,2026-02-21
79,Roteador Wi-Fi,Periféricos,Centro-Oeste,Boleto,1.0,49.9,3.0,2026-02-18
6,Roteador Wi-Fi,Móveis,Sudeste,Pix,2.0,1599.0,5.0,2026-06-21
140,Cadeira Ergonômica,Periféricos,Nordeste,Cartão de Crédito,1.0,129.9,5.0,2026-04-04
58,Headset Bluetooth,Áudio,Centro-Oeste,Pix,3.0,129.9,4.0,2026-06-27
208,Roteador Wi-Fi,Informática,sudeste,Boleto,2.0,329.9,5.0,2026-05-14
56,Webcam HD,Áudio,Norte,Cartão de Crédito,1.0,15990.0,,2026-03-31
117,Notebook Gamer,Periféricos,Nordeste,Cartão de Crédito,1.0,159.9,3.0,2026-03-24
5,"Monitor 24""",Áudio,Centro-Oeste,Pix,3.0,199.9,5.0,2026-06-27
95,"Monitor 24""",Periféricos,Nordeste,Cartão de Débito,3.0,1599.0,5.0,2026-03-21
166,Webcam HD,Informática,Sudeste,Cartão de Débito,,89.9,,2026-03-07
147,Webcam HD,Móveis,Norte,Boleto,1.0,159.9,4.0,2026-02-09
142,Mouse Óptico,Impressão,Sul,Cartão de Débito,2.0,89.9,5.0,2026-04-17
217,Headset Bluetooth,Áudio,Sul,Cartão de Crédito,,1599.0,5.0,2026-04-13
112,Headset Bluetooth,Áudio,Sul,Cartão de Crédito,1.0,899.0,4.0,2026-04-19
153,Impressora Multifuncional,Armazenamento,Centro-Oeste,Pix,1.0,159.9,5.0,2026-02-14
176,Cadeira Ergonômica,Armazenamento,sudeste,Cartão de Crédito,,1599.0,5.0,2026-03-29
2,Webcam HD,Periféricos,Norte,Pix,1.0,89.9,5.0,2026-05-23
173,Teclado Mecânico,Áudio,Norte,Cartão de Débito,,599.0,,2026-05-07
189,Webcam HD,Áudio,sudeste,Cartão de Crédito,2.0,89.9,5.0,2026-06-22
